"position","domain","city","company","experience","english","salary","technology","specialization","period","title","group","framework"
"Software Engineer","Gambling",1,3,4,3,1300,"JavaScript","HTML coder","2024-12",3,1,""
"Data Scientist","Fintech / Banking / Capital Management",1,3,8,4,5500,"Python",NA,"2024-12",5,4,"Scikit-learn,Pandas,NumPy,Matplotlib,airflow"
"UI/UX Designer","Pharma",15,2,10,5,4500,"",NA,"2024-12",4,14,NA
"Software Engineer","Ecommerce",1,3,10,5,8300,"Kotlin","Back-end","2024-12",11,1,"Spring,Ruby on Rails,Node.js"
"QA/QC/SDET","Fintech / Banking / Capital Management",12,1,10,4,3900,"TypeScript","General QA","2024-12",5,2,"Cypress,JSON,Postman"
"Software Engineer","Business Intelligence / Data Warehouse",1,3,5,4,4750,"Java","Back-end","2024-12",3,1,"Spring"
"Software Engineer","Logistics",32,5,10,2,2500,"1С","Software Architect","2024-12",8,1,""
"Software Engineer","Medtech / Healthcare",12,3,3,4,1950,"TypeScript","Front-end","2024-12",3,1,"Next.js"
"Head of HR","Fintech / Banking / Capital Management",1,3,8,4,3000,"",NA,"2024-12",7,18,NA
"Software Engineer","Security",1,3,10,5,8400,"TypeScript","Front-end","2024-12",5,1,"Vue.js"
"DevOps","",3,3,10,2,10000,"",NA,"2024-12",4,5,NA
"Data Scientist","Gambling",1,3,6,4,7700,"Python",NA,"2024-12",6,4,"TensorFlow,SciPy"
"Software Engineer","Adtech / Advertising",1,3,2,3,2200,"PHP","Full Stack","2024-12",3,1,"Laravel,React"
"AI Engineer","Sales",1,3,3,5,2300,"Python",NA,"2024-12",3,4,"SQLAlchemy"
"QA/QC/SDET","Data Security",1,3,7,3,3470,"TypeScript","General QA","2024-12",4,2,"Playwright"
"Data/Big Data Engineer","Fintech / Banking / Capital Management",5,3,6,3,5500,"Python",NA,"2024-12",4,4,"airflow,Spark"
"QA/QC/SDET","Restaurants",3,2,4,4,4800,"TypeScript","Automation QA","2024-12",4,2,"Playwright"
"Software Engineer","",12,3,8,1,5700,"Java","Back-end","2024-12",4,1,"Spring"
"QA/QC/SDET","Gamedev",16,1,1,4,700,"","Manual QA","2024-12",2,2,""
"Software Engineer","Medtech / Healthcare",12,3,3,2,1950,"JavaScript","Front-end","2024-12",2,1,"Next.js,Vue.js,Nuxt.js"
"Software Engineer","Startup",3,4,0,4,500,"JavaScript","Front-end","2024-12",2,1,"Angular / Angular.js"
"Software Engineer","Travel,personal manager",32,4,6,3,3000,"PHP","Back-end","2024-12",3,1,"Laravel"
"QA/QC/SDET","Ecommerce",1,1,4,4,2100,"","Manual QA","2024-12",4,2,""
"Software Engineer","Medtech / Healthcare",1,3,4,3,4600,"Python","Back-end","2024-12",4,1,"React,Flask,Custom samserver"
"QA/QC/SDET","Telecom",1,2,5,4,930,"","Manual QA","2024-12",3,2,""
"QA/QC/SDET","",3,3,3,2,700,"","Manual QA","2024-12",3,2,""
"Software Engineer","Ecommerce",15,1,1,3,800,"JavaScript","Front-end","2024-12",2,1,"Laravel,Vue.js,Nuxt.js,jQuery"
"QA/QC/SDET","Adtech / Advertising",1,3,9,4,3400,"","Manual QA","2024-12",4,2,""
"Software Engineer","",1,3,10,4,7300,"TypeScript","Front-end","2024-12",11,1,"React,Node.js,Next.js"
"QA/QC/SDET","Ecommerce",1,3,3,3,1600,"Java","Manual QA","2024-12",3,2,"JUnit,Maven,Selenium,WebdriverIO"
"Software Engineer","Ecommerce",1,3,6,5,1600,"TypeScript","Front-end","2024-12",3,1,"React,Electron,Next.js,Node.js"
"Software Engineer","Edtech / Education",1,1,10,4,4500,"TypeScript","Front-end","2024-12",4,1,"React"
"Software Engineer","Корпоративні системи",9,1,7,3,4000,"Python","Full Stack","2024-12",6,1,""
"Software Engineer","Корпоративні системи,Business Intelligence / Data Warehouse",2,3,5,4,4100,"JavaScript","Full Stack","2024-12",4,1,""
"Software Engineer","Корпоративні системи",1,3,5,4,1900,"JavaScript","Front-end","2024-12",3,1,"React,jQuery,D3.js"
"Software Engineer","Cloud Computing",1,1,5,4,3000,"Java","Back-end","2024-12",3,1,"Spring"
"DevOps","Agriculture",1,4,1,2,2000,"",NA,"2024-12",3,5,NA
"Software Engineer","Mobile",26,3,3,4,2500,"Swift","Mobile","2024-12",3,1,"SwiftUI,UIKit,Flutter"
"Software Engineer","Logistics",12,1,6,4,4300,"TypeScript","Back-end","2024-12",4,1,"Nest.js,Node.js"
"QA/QC/SDET","Logistics,Automotive",1,1,10,4,3567,"","Manual QA","2024-12",4,2,""
"Marketing Manager","IT systems",1,3,6,5,2023,"",NA,"2024-12",5,19,NA
"Software Engineer","Mobile",3,3,10,3,2600,"Swift","Mobile","2024-12",4,1,"iOS SDK (Native),UIKit,SwiftUI"
"QA/QC/SDET","Fintech / Banking / Capital Management",1,2,8,4,4100,"C#/.NET","Automation QA","2024-12",5,2,"NUnit,Playwright,Selenium,SpecFlow,WebdriverIO"
"QA/QC/SDET","Big Data",21,1,5,3,1280,"","Manual QA","2024-12",3,2,""
"Software Engineer","Fintech / Banking / Capital Management",2,3,3,4,2000,"Python","Back-end","2024-12",3,1,"FastAPI"
"QA/QC/SDET","AI",1,3,9,3,3750,"TypeScript","General QA","2024-12",4,2,"Playwright"
"Software Engineer","Real estate",12,3,7,3,14200,"TypeScript","Full Stack","2024-12",6,1,"Node.js,Nest.js,React,Angular / Angular.js"
"QA/QC/SDET","Mobile,Ecommerce",12,2,1,4,450,"","Manual QA","2024-12",2,2,""
"DevOps","Telecom",15,1,3,4,3750,"Python",NA,"2024-12",3,5,NA
"Software Engineer","Mobile",1,5,0,4,600,"Kotlin","Mobile","2024-12",2,1,"Android SDK (Native),Jetpack Compose"
"Software Engineer","AI",9,1,2,3,1300,"C#/.NET","Back-end","2024-12",2,1,".NET,ASP.NET"
"QA/QC/SDET","Service Management",12,1,2,3,750,"","Manual QA","2024-12",2,2,""
"Software Engineer","Embedded",6,1,2,3,1300,"Pascal/Delphi","Embedded","2024-12",2,1,""
"Software Engineer","Internet",31,2,10,3,9500,"Java","Back-end","2024-12",11,1,""
"QA/QC/SDET","Media",7,1,5,4,1970,"","Manual QA","2024-12",3,2,""
"Software Engineer","Ecommerce",15,1,1,2,530,"TypeScript","Front-end","2024-12",2,1,"Next.js,React,WordPress"
"QA/QC/SDET","Fintech / Banking / Capital Management",1,3,3,4,1300,"Java","General QA","2024-12",3,2,"Selenide/NSelen/Selen,Maven,Postman,TestNG,Grafana K6"
"Software Engineer","Fintech / Banking / Capital Management",1,2,5,4,4200,"Swift","Mobile","2024-12",4,1,"iOS SDK (Native),Combine,SwiftUI,UIKit"
"QA/QC/SDET","Medtech / Healthcare",12,1,5,4,3500,"C#/.NET","Automation QA","2024-12",3,2,".NET,JSON,Selenium,NUnit,Postman"
"QA/QC/SDET","Gambling",1,3,3,4,2800,"TypeScript","Automation QA","2024-12",3,2,"WebdriverIO"
"DevOps","Data Science",7,1,4,4,2100,"Python",NA,"2024-12",3,5,NA
"Software Engineer","Medicine",12,3,4,2,2000,"TypeScript","Front-end","2024-12",3,1,"Angular / Angular.js"
"Project Manager","Public services / Government,Geospatial",27,3,8,5,4400,"",NA,"2024-12",4,11,NA
"Software Engineer","Embedded",1,1,6,4,5700,"C","Embedded","2024-12",4,1,""
"QA/QC/SDET","Edtech / Education",3,3,2,4,600,"","Manual QA","2024-12",2,2,""
"Software Engineer","Ecommerce",1,3,10,4,6500,"Clojure","Back-end","2024-12",5,1,"Flask"
"HR Generalist","Internet of Things",1,3,10,4,2000,"",NA,"2024-12",4,18,NA
"QA/QC/SDET","Logistics",32,3,9,4,3800,"Java","Manual QA","2024-12",4,2,"JSON,Postman,Maven,Selenide/NSelen/Selen,Rest Assured"
"Software Engineer","Cloud Computing,High Load Systems,Ecommerce",7,2,6,4,5193,"Java","Back-end","2024-12",4,1,"Spring,Flask,Hibernate,Quarkus"
"2D Artist","Gambling",1,3,2,2,1200,"",NA,"2024-12",2,15,NA
"Software Engineer","Fintech / Banking / Capital Management",32,3,4,3,2500,"TypeScript","Front-end","2024-12",3,1,"React"
"Software Engineer","Internet of Things",1,1,7,4,7100,"Java","Solution Architect","2024-12",8,1,""
"QA/QC/SDET","Adtech / Advertising",27,1,10,4,3500,"Java","General QA","2024-12",4,2,"Postman,Cypress,Cucumber"
"Business Analyst","Корпоративні системи",1,3,5,3,4300,"",NA,"2024-12",5,3,NA
"DevOps","High Load Systems",3,3,6,2,4350,"Python",NA,"2024-12",5,5,NA
"PR Manager","Edtech / Education,Media,Mobile",1,3,2,4,1950,"",NA,"2024-12",3,20,NA
"QA/QC/SDET","Корпоративні системи",12,1,3,4,1825,"","Manual QA","2024-12",3,2,""
"Software Engineer","Edtech / Education",1,1,4,4,3450,"Java","Back-end","2024-12",4,1,"Spring,Hibernate"
"Software Engineer","Adtech / Advertising",2,3,3,4,2200,"JavaScript","Front-end","2024-12",3,1,"Nuxt.js,Vue.js"
"Software Engineer","Automotive",14,1,1,3,1000,"C#/.NET","Back-end","2024-12",2,1,".NET"
"Business Analyst","Mobile,Media",7,1,4,5,2850,"",NA,"2024-12",3,3,NA
"Product Manager","Public services / Government,Travel",12,1,5,5,3150,"",NA,"2024-12",3,12,NA
"Software Engineer","Telecom",3,2,9,3,2300,"C#/.NET","Back-end","2024-12",3,1,".NET"
"QA/QC/SDET","Gambling",16,3,4,3,1695,"Java","Manual QA","2024-12",3,2,"TestNG"
"QA/QC/SDET","Adtech / Advertising",12,2,10,4,5500,"Swift","General QA","2024-12",6,2,"XCTest,espresso"
"Partnership Manager","Cloud Computing,Business Intelligence / Data Warehouse",1,1,5,3,2050,"",NA,"2024-12",4,21,NA
"QA/QC/SDET","Fintech / Banking / Capital Management",12,1,5,5,2500,"JavaScript","Manual QA","2024-12",4,2,""
"Software Engineer","Hardware,Security,Manufacturing",1,3,2,4,1500,"Python","Back-end","2024-12",5,1,""
"Software Engineer","Fintech / Banking / Capital Management",24,3,1,3,530,"JavaScript","Full Stack","2024-12",2,1,"Angular / Angular.js,Yii,Laravel"
"QA/QC/SDET","Media",1,2,5,4,5000,"TypeScript","General QA","2024-12",4,2,"Playwright"
"Software Engineer","Mobile",15,1,10,1,500,"Swift","Mobile","2024-12",3,1,"SwiftUI,UIKit,iOS SDK (Native)"
"Software Engineer","Travel",28,1,5,4,3200,"C#/.NET","Back-end","2024-12",4,1,".NET,ASP.NET"
"QA/QC/SDET","Ecommerce,Fintech / Banking / Capital Management",12,1,5,4,2600,"JavaScript","General QA","2024-12",3,2,"Playwright,Mocha,JSON,Postman"
"Software Engineer","Security,Edtech / Education",11,1,3,4,1320,"Python","Back-end","2024-12",3,1,"FastAPI,Flask,Django,Node.js"
"QA/QC/SDET","Gambling",12,3,5,4,3000,"Java","Automation QA","2024-12",3,2,"Playwright,JUnit,Maven,Grafana K6"
"QA/QC/SDET","Mobile,Ecommerce",2,1,2,4,479,"","Manual QA","2024-12",2,2,""
"QA/QC/SDET","Big Data",1,1,8,4,3610,"Bash","General QA","2024-12",4,2,"Other"
"HR Manager","Fintech / Banking / Capital Management,Ecommerce",7,1,1,5,1600,"",NA,"2024-12",3,18,NA
"UI/UX Designer","",28,1,1,3,800,"",NA,"2024-12",3,14,NA
"QA/QC/SDET","Telecom",1,3,3,3,1200,"JavaScript","Manual QA","2024-12",3,2,"Cypress,JSON,Postman"
"QA/QC/SDET","Ecommerce",1,3,6,3,850,"","Manual QA","2024-12",4,2,""
"CPO (Chief Product Officer)","Fintech / Banking / Capital Management",15,3,10,4,5200,"",NA,"2024-12",12,12,NA
"BI Analyst","Mobile",23,3,2,4,1800,"DB langs",NA,"2024-12",3,3,NA
"Software Engineer","Logistics",24,1,0,4,600,"C#/.NET","Full Stack","2024-12",2,1,".NET,ASP.NET,jQuery"
"Software Engineer","Telecom",15,1,7,4,4400,"Python","Back-end","2024-12",4,1,"Django,Flask"
"Software Engineer","Fintech / Banking / Capital Management",12,1,5,4,2350,"JavaScript","Front-end","2024-12",3,1,"-"
"QA/QC/SDET","Adtech / Advertising",1,3,10,4,5000,"TypeScript","Automation QA","2024-12",6,2,"Playwright,Cypress"
"Software Engineer","Корпоративні системи",12,3,10,4,6000,"C#/.NET","Back-end","2024-12",4,1,"ASP.NET"
"QA/QC/SDET","Fintech / Banking / Capital Management",2,3,3,5,2500,"Python","Automation QA","2024-12",3,2,"Robot Framework"
"Image Quality Engineer","Embedded",1,3,4,3,5500,"Python",NA,"2024-12",5,NA,NA
"Software Engineer","Real estate",12,1,5,5,4100,"Swift","Full Stack","2024-12",4,1,"Laravel"
"Software Engineer","Gamedev",12,3,5,5,5800,"C++","","2024-12",4,1,""
"BI Analyst","Medtech / Healthcare",1,2,4,4,2400,"DAX",NA,"2024-12",3,3,NA
"Software Engineer","Mobile",21,4,1,3,1500,"TypeScript","Mobile","2024-12",2,1,"React Native"
"Product Analyst","Security",1,3,5,3,4000,"DB langs",NA,"2024-12",0,3,NA
"CMO (Chief Marketing Officer)","SaaS,email design",1,3,3,5,8000,"",NA,"2024-12",12,19,NA
"Software Engineer","Customer Service",1,1,10,5,6650,"JavaScript","Front-end","2024-12",6,1,"React,Node.js"
"QA/QC/SDET","Корпоративні системи",1,3,5,4,1100,"","Manual QA","2024-12",3,2,""
"QA/QC/SDET","Travel",1,3,1,3,1000,"","Manual QA","2024-12",2,2,""
"Software Engineer","Ecommerce",28,3,2,3,1200,"JavaScript","Front-end","2024-12",2,1,"Other"
"Software Engineer","Cloud Computing,Internet of Things",1,1,2,4,2860,"Golang","Back-end","2024-12",3,1,"Node.js,Gin"
"Software Engineer","Fintech / Banking / Capital Management",26,2,10,3,4750,"C#/.NET","Back-end","2024-12",4,1,".NET,ASP.NET"
"QA/QC/SDET","Fintech / Banking / Capital Management",12,3,5,5,1600,"TypeScript","Automation QA","2024-12",3,2,"Playwright"
"Software Engineer","Logistics",7,1,7,4,3650,"Java","Back-end","2024-12",4,1,"Spring"
"QA/QC/SDET","Gambling,Internet of Things,Manufacturing",1,3,4,4,4675,"Java","Automation QA","2024-12",4,2,"Rest Assured,PyTest,TestNG,Gradle,Selenium"
"Software Engineer","Корпоративні системи",16,7,3,3,250,"1С","Desktop","2024-12",3,1,""
"Operations Manager","Ecommerce,Fintech / Banking / Capital Management,Blockchain",1,1,3,5,2400,"",NA,"2024-12",5,13,NA
"Customer Support","Ecommerce,Hosting",12,2,3,4,700,"",NA,"2024-12",0,22,NA
"Software Engineer","Ecommerce",2,3,5,3,3600,"Swift","Mobile","2024-12",5,1,"SwiftUI,iOS SDK (Native),UIKit,Combine"
"Software Engineer","Fintech / Banking / Capital Management",12,1,3,3,3000,"TypeScript","Front-end","2024-12",3,1,"Angular / Angular.js,React"
"AI Engineer","Ecommerce",1,2,8,5,6000,"Python",NA,"2024-12",4,4,"PyTorch,Pandas,NumPy,Scikit-learn,TensorFlow"
"Software Engineer","Fintech / Banking / Capital Management",1,3,10,3,6700,"JavaScript","Full Stack","2024-12",5,1,"Express,Node.js,React,Vue.js"
"Head of SRE","Gamedev",1,3,8,5,6270,"Python",NA,"2024-12",7,5,NA
"Software Engineer","Fintech / Banking / Capital Management",1,3,10,4,3750,"C#/.NET","Back-end","2024-12",4,1,".NET"
"Sales Development Representative","Fintech / Banking / Capital Management",1,3,5,4,2400,"",NA,"2024-12",4,21,NA
"Software Engineer","Prediction platform",1,2,1,4,650,"JavaScript","Front-end","2024-12",2,1,"Next.js"
"QA/QC/SDET","Gamedev,Mobile,Gambling",15,3,4,3,2000,"","Manual QA","2024-12",3,2,""
"Software Engineer","Medtech / Healthcare,Manufacturing",24,2,6,3,5100,"C#/.NET","Back-end","2024-12",4,1,".NET"
"QA/QC/SDET","Security",1,3,10,5,5515,"Java","General QA","2024-12",4,2,"Selenium,TestCafe"
"DevOps","Big Data",12,1,3,4,2350,"Python",NA,"2024-12",3,5,NA
"Software Engineer","Internet of Things,Mobile,Security",1,1,4,5,1860,"Dart","Mobile","2024-12",3,1,"Flutter"
"Software Engineer","Gamedev",3,4,0,4,350,"C++","","2024-12",2,1,""
"Software Engineer","Uberfication,Mobile",24,3,8,4,2700,"Swift","Mobile","2024-12",4,1,"iOS SDK (Native),UIKit,SwiftUI"
"Software Engineer","Automotive",12,2,10,3,6000,"Golang","Back-end","2024-12",5,1,"Echo"
"QA/QC/SDET","Gambling",12,3,5,4,2000,"","Manual QA","2024-12",3,2,""
"Software Engineer","Sports",3,3,1,4,1100,"Swift","Mobile","2024-12",2,1,"iOS SDK (Native),Combine,SwiftUI"
"QA/QC/SDET","Ecommerce",16,1,7,4,4300,"Groovy","Automation QA","2024-12",4,2,"Jest,JSON,Postman,Selenium"
"Software Engineer","Mobile",2,1,1,4,475,"Kotlin","Mobile","2024-12",2,1,"Android SDK (Native)"
"QA/QC/SDET","Media,Business Intelligence / Data Warehouse,Big Data",1,3,5,4,1050,"","Manual QA","2024-12",3,2,""
"Data Analyst","Ecommerce",12,3,4,2,1600,"DB langs",NA,"2024-12",4,3,NA
"Product Designer","Marketing tools",15,3,10,4,1900,"",NA,"2024-12",3,14,NA
"Engineering Manager","Travel",12,1,10,5,5900,"Java",NA,"2024-12",5,13,NA
"Technical Writer","Manufacturing",12,3,6,5,4200,"",NA,"2024-12",0,8,NA
"DevOps","Gamedev",1,3,5,3,6000,"Python",NA,"2024-12",3,5,NA
"Software Engineer","Real estate",24,1,6,2,1450,"PHP","Full Stack","2024-12",3,1,"Vue.js,jQuery,Laravel,Zend Framework"
"DevOps","",9,3,3,3,3500,"Python",NA,"2024-12",0,5,NA
"NOC Engineer","Cloud Computing",27,1,1,4,1500,"Python",NA,"2024-12",0,6,NA
"QA/QC/SDET","Edtech / Education",3,3,3,4,1050,"Python","General QA","2024-12",2,2,"JSON,Postman,PyTest,Selenium,TestNG"
"QA/QC/SDET","Enterprise",7,3,2,3,1300,"JavaScript","Manual QA","2024-12",3,2,"JSON,Cypress,Postman"
"Technical Support","Ecommerce",27,2,2,3,1000,"",NA,"2024-12",0,22,NA
"QA/QC/SDET","Edtech / Education",2,3,3,4,800,"Python","Manual QA","2024-12",2,2,"PyTest,Selenium"
"QA/QC/SDET","Telecom",3,1,2,4,1500,"","General QA","2024-12",3,2,""
"Software Engineer","Ecommerce",1,1,6,4,3000,"Java","Back-end","2024-12",4,1,"Spring"
"QA/QC/SDET","Корпоративні системи",16,3,6,1,2300,"Java","Manual QA","2024-12",4,2,"TestNG,Selenide/NSelen/Selen,Selenium,Rest Assured,Postman"
"Customer Success","Корпоративні системи",12,1,0,5,1200,"",NA,"2024-12",2,22,NA
"Software Engineer","Cloud Computing,High Load Systems",1,2,10,4,5500,"TypeScript","Full Stack","2024-12",4,1,"React"
"QA/QC/SDET","Hardware,Manufacturing,Business Intelligence / Data Warehouse",1,1,10,4,3250,"C#/.NET","General QA","2024-12",5,2,".NET"
"Product Designer","Contract Lifecycle Management",1,3,4,4,5000,"",NA,"2024-12",4,14,NA
"QA/QC/SDET","Media,Travel",12,1,3,4,1200,"","Manual QA","2024-12",2,2,""
"Product Analyst","Dating",1,3,3,4,1650,"DB langs",NA,"2024-12",3,3,NA
"QA/QC/SDET","Ecommerce",23,1,5,4,5225,"TypeScript","Automation QA","2024-12",6,2,"Playwright,WebdriverIO,Postman,Mocha"
"Product Manager","Fintech / Banking / Capital Management",1,3,6,4,3500,"",NA,"2024-12",0,12,NA
"Data Analyst","Іпотека",1,7,1,1,874,"DB langs",NA,"2024-12",2,3,NA
"QA/QC/SDET","Fintech / Banking / Capital Management",32,2,4,4,1900,"TypeScript","Automation QA","2024-12",3,2,"Playwright,Postman"
"Software Engineer","Mobile,Ecommerce",12,2,10,4,5000,"Swift","Mobile","2024-12",4,1,"iOS SDK (Native),SwiftUI,UIKit"
"Software Engineer","Ecommerce",1,3,4,5,2800,"TypeScript","Front-end","2024-12",4,1,"Angular / Angular.js"
"Technical Writer","Logistics",12,2,10,5,3000,"",NA,"2024-12",5,8,NA
"Software Engineer","Media",1,2,5,5,7800,"TypeScript","Back-end","2024-12",4,1,"Node.js,Express,Nest.js"
"Compliance Manager","Gambling",1,3,6,5,5245,"",NA,"2024-12",5,24,NA
"Product Designer","Fintech / Banking / Capital Management",1,3,8,2,3000,"",NA,"2024-12",3,14,NA
"Software Engineer","Hardware",3,3,10,4,3290,"C++","Інше","2024-12",6,1,""
"Software Engineer","Fintech / Banking / Capital Management,Logistics",12,3,10,4,6000,"C#/.NET","Full Stack","2024-12",4,1,"Angular / Angular.js,.NET,Django,React,Spring"
"Business Analyst","Ecommerce",12,3,1,3,1800,"",NA,"2024-12",3,3,NA
"Technical Writer","",12,3,3,3,1150,"",NA,"2024-12",0,8,NA
"DevOps","Logistics",15,3,5,3,4000,"Python",NA,"2024-12",3,5,NA
"Project Coordinator","Fintech / Banking / Capital Management",3,3,4,4,2587,"",NA,"2024-12",4,11,NA
"Software Engineer","Medtech / Healthcare",1,3,10,2,3000,"Pascal/Delphi","Back-end","2024-12",3,1,"Other"
"Software Engineer","Gambling",1,3,4,2,2850,"JavaScript","Front-end","2024-12",3,1,"React"
"ERP/CRM Consultant","Manufacturing",12,3,2,5,2700,"ABAP",NA,"2024-12",4,8,NA
"QA/QC/SDET","Cloud Computing",1,1,10,4,4700,"Python","Automation QA","2024-12",4,2,"PyTest"
"QA/QC/SDET","Корпоративні системи",26,1,8,4,3500,"","General QA","2024-12",4,2,""
"DevOps","Cloud Computing,Public services / Government",1,2,2,5,2000,"Python",NA,"2024-12",3,5,NA
"BI Analyst","Fintech / Banking / Capital Management",32,3,5,4,3270,"DB langs",NA,"2024-12",0,3,NA
"Software Engineer","Edtech / Education",1,1,1,2,1200,"TypeScript","Front-end","2024-12",2,1,"Vue.js"
"QA/QC/SDET","Medtech / Healthcare",24,2,4,4,2400,"C#/.NET","Automation QA","2024-12",3,2,".NET,NUnit,Selenium"
"Software Engineer","Security",12,2,5,4,5300,"Java","Back-end","2024-12",4,1,"Symfony"
"QA/QC/SDET","Fintech / Banking / Capital Management,Big Data,Cloud Computing",12,1,6,4,3350,"","Manual QA","2024-12",5,2,""
"Software Engineer","Ecommerce",1,1,1,1,180,"JavaScript","Front-end","2024-12",2,1,"jQuery,React,Vue.js,WordPress"
"Technical Writer","Logistics",12,3,5,5,3000,"",NA,"2024-12",4,8,NA
"Software Engineer","Medtech / Healthcare",1,3,3,4,1250,"TypeScript","Full Stack","2024-12",3,1,"Angular / Angular.js"
"QA/QC/SDET","Automotive",2,1,10,3,2400,"Python","Automation QA","2024-12",4,2,"Robot Framework"
"Software Engineer","Telecom",27,1,5,5,3850,"JavaScript","Front-end","2024-12",3,1,"Angular / Angular.js"
"Technical Writer","Fintech / Banking / Capital Management",1,1,8,5,4400,"",NA,"2024-12",4,8,NA
"QA/QC/SDET","Fintech / Banking / Capital Management",1,7,5,5,2800,"","Manual QA","2024-12",4,2,""
"QA/QC/SDET","Medtech / Healthcare",24,3,5,3,2500,"Java","General QA","2024-12",4,2,"Cucumber,JSON,Postman,Selenium,Internal app"
"Software Engineer","Корпоративні системи",15,3,4,4,3900,"JavaScript","Back-end","2024-12",3,1,"Nest.js,Express,Node.js"
"QA/QC/SDET","Media",1,1,6,4,2700,"TypeScript","General QA","2024-12",4,2,"Cucumber,Cypress,Playwright"
"Software Engineer","Retail",17,3,2,3,1500,"Java","Back-end","2024-12",2,1,"Spring"
"QA/QC/SDET","Insurance",24,4,3,3,970,"","Manual QA","2024-12",3,2,""
"Software Engineer","Retail",1,3,6,4,5500,"Java","Back-end","2024-12",4,1,"Spring,Hibernate"
"Software Engineer","Data Analysis",5,1,6,4,3500,"TypeScript","Back-end","2024-12",3,1,"Nest.js,Express"
"Talent Researcher","outstaff",12,2,2,3,730,"",NA,"2024-12",2,18,NA
"QA/QC/SDET","Ecommerce,Корпоративні системи",1,3,1,4,1400,"","Manual QA","2024-12",2,2,""
"Data/Big Data Engineer","Business Intelligence / Data Warehouse,Big Data",12,1,10,4,4700,"DB langs",NA,"2024-12",4,4,"dbt,airflow,Pandas,Spark"
"Head of Product","Productivity",1,3,4,4,5500,"",NA,"2024-12",7,12,NA
"Data Scientist","Mobile,Data Science,Fintech / Banking / Capital Management",1,4,10,3,6900,"R",NA,"2024-12",5,4,"Tidyverse,Scikit-learn,Requests,Collapse,data.table,ggplot2,plotly"
"Sales Development Representative","Корпоративні системи",12,1,1,4,400,"",NA,"2024-12",2,21,NA
"Software Engineer","Edtech / Education",12,2,4,5,2800,"Python","Back-end","2024-12",3,1,"Django"
"Infrastructure Engineer","Ecommerce",21,3,10,4,1250,"bash",NA,"2024-12",5,5,NA
"Software Engineer","Корпоративні системи",1,3,8,4,2500,"1С","Full Stack","2024-12",4,1,"Other"
"Software Engineer","Embedded,Machine Learning",7,1,4,4,4700,"Python","Embedded","2024-12",4,1,""
"Software Engineer","Adtech / Advertising",1,3,10,5,5580,"PHP","Full Stack","2024-12",4,1,"Vue.js,Laravel"
"Software Engineer","Edtech / Education",1,3,4,2,2500,"TypeScript","Front-end","2024-12",3,1,"React,Next.js,Astro"
"Business Analyst","Ecommerce,Legal",12,3,2,4,2900,"",NA,"2024-12",3,3,NA
"HR Generalist","Fintech / Banking / Capital Management",12,1,10,2,1700,"",NA,"2024-12",4,18,NA
"Head of R&D","Logistics,Data Science,Machine Learning",1,3,8,5,2500,"Python",NA,"2024-12",7,10,NA
"QA/QC/SDET","Medtech / Healthcare",17,1,3,4,1600,"DB langs","Manual QA","2024-12",3,2,"Postman,JSON,.NET"
"QA/QC/SDET","Fintech / Banking / Capital Management",3,3,4,4,2100,"","Manual QA","2024-12",3,2,""
"Business Analyst","Logistics,Mobile,Media",24,1,7,4,3100,"DB langs",NA,"2024-12",4,3,NA
"Product Manager","Medtech / Healthcare",1,3,1,5,1500,"",NA,"2024-12",0,12,NA
"Business Analyst","Ecommerce,Telecom",1,3,5,2,3000,"",NA,"2024-12",4,3,NA
"Project Manager","Embedded",12,1,3,5,4300,"C#/.NET",NA,"2024-12",3,11,NA
"Software Engineer","Ecommerce",23,1,3,3,2800,"C#/.NET","Back-end","2024-12",3,1,".NET,ASP.NET"
"QA/QC/SDET","Insurance,Adtech / Advertising",1,3,5,3,2500,"PHP","Manual QA","2024-12",3,2,"Postman,Selenium,JSON"
"Business Analyst","Retail",12,1,3,3,1300,"JavaScript",NA,"2024-12",3,3,NA
"Software Engineer","Automotive",28,1,3,3,2500,"TypeScript","Front-end","2024-12",3,1,"Next.js,React,Node.js,Express,Vue.js"
"QA/QC/SDET","Edtech / Education",12,3,5,3,3500,"Ruby","Automation QA","2024-12",3,2,"Appium,Selenium"
"Software Engineer","Medtech / Healthcare",7,1,5,5,1550,"Java","Back-end","2024-12",4,1,"Spring"
"QA/QC/SDET","Ecommerce,Корпоративні системи",1,3,5,4,2000,"Python","General QA","2024-12",4,2,"Playwright,Postman"
"Data Scientist","Adtech / Advertising",1,3,4,4,3500,"Python",NA,"2024-12",3,4,"Dagster,PyTorch,Spark,NumPy"
"Data Scientist","Machine Learning",1,1,10,4,3000,"Python",NA,"2024-12",4,4,"TensorFlow,Pandas,NumPy,Matplotlib"
"Scrum Master","Big Data",1,3,5,5,2300,"",NA,"2024-12",4,13,NA
"System Administrator","Adtech / Advertising",7,1,3,3,1500,"",NA,"2024-12",3,6,NA
"Delivery Manager","Real estate",1,2,10,5,6500,"Codeless",NA,"2024-12",5,11,NA
"Software Engineer","Mobile",24,3,3,5,3000,"Dart","Mobile","2024-12",3,1,"Flutter,Jetpack Compose,Android SDK (Native)"
"DevOps","Medtech / Healthcare",12,2,10,4,7500,"Python",NA,"2024-12",4,5,NA
"QA/QC/SDET","Gambling",29,3,7,4,4800,"Java","Automation QA","2024-12",6,2,"Playwright,Rest Assured,Maven,Selenide/NSelen/Selen,TestNG"
